url,identifier,title,description,image,currency,cost,created,ended,impressions,language,exclude,interest,placement,residence,match,location,politics,multicultural affinity,industry,employer,clicks,facebook url,tag
https://mith.umd.edu/irads/api/items/8760,2317,Our mission is to tell the bold truth ab…,Our mission is to tell the bold truth about inequality and injustice. Join us! BM,https://mith.umd.edu/irads/files/original/46cfd069523ad5fda0107a81f20df0fb.png,RUB,10662.05,2016-12-08T06:34:13-08:00,,114868,,Exclude people who like BM,Martin Luther King|African-American Civil Rights Movement (1954—68)|African-American history|Malcolm X,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,5052,https://www.facebook.com/blackmattersus.mvmnt,black|civil rights|graduation|green|photograph|race|racial tensions|red|Sadness
https://mith.umd.edu/irads/api/items/8784,2198,Our mission is to tell the bold truth ab…,Our mission is to tell the bold truth about inequality and injustice. Join us! BM,https://mith.umd.edu/irads/files/original/a87aab2ad8dcc797a2c9fb19a656db7a.png,RUB,12404.4,2016-12-08T06:34:13-08:00,,113801,,Exclude people who like BM,Martin Luther King|African-American Civil Rights Movement (1954—68)|African-American history|Malcolm X,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,5139,https://www.facebook.com/blackmattersus.mvmnt,Anger|black|BM|civil rights|common folks|green|photograph|race|racial identities|racial tensions|red
https://mith.umd.edu/irads/api/items/6796,111,Join us because we care. Black Matters!,Join us because we care. Black Matters!,https://mith.umd.edu/irads/files/original/7756cba6a3478fac0da53aa26ff504b9.png,RUB,31741.49,2015-07-13T07:20:58-07:00,,113435,English (UK)|English (US),Exclude people who like Black Matters,,News Feed on desktop computers|News Feed on mobile devices,,,"Atlanta (+20 km) Georgia|Maryland|Ferguson (+20 km), St. Louis (+20 km) Missouri|Virginia",,,,,7173,https://www.facebook.com/blackmattersus/,black|Black Matters|blacklivesmatter|graduation|photograph|police brutality|race|racial tensions|Sadness|white
https://mith.umd.edu/irads/api/items/7258,1687,Fed up with police violence? Wanna stop …,"Fed up with police violence? Wanna stop police brutality? Join us! Cop Block
Us ( @COp Block AmericanCops",https://mith.umd.edu/irads/files/original/1a09394a42be91a3e80c25f6f4cbdb65.png,RUB,7018.16,2015-12-17T05:21:36-08:00,,113296,English (US),,Humour,Instagram Feed,,,,,,,,778,httpszllwww.instagram.Com/Cop_block_us/,badge|black|cop_block_us|crime|green|Humor|meme|non-partisan|police brutality|red|Sadness|wut
https://mith.umd.edu/irads/api/items/8513,2779,"They fought for our freedom, now its our…","They fought for our freedom, now its our time to fight for their rights!",https://mith.umd.edu/irads/files/original/965271a31a6214f42e036d36e8a213f1.png,RUB,72735.14,2017-04-06T05:56:18-07:00,,112737,English (UK)|English (US),Exclude people who like Veterans Come First,,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,15163,https://www.facebook.comNeterans-Come-First-1757336424535312/,badge|blue|brown|civil rights|common folks|cowboy|guns|Joy|Love|nation|patriotism|red|redacted|soldiers|U.S. Flag|Veterans Come First|war
https://mith.umd.edu/irads/api/items/7360,1917,This is the way our Children have to be …,"This is the way our Children have to be raised. It's not the promotion of
violence. It's the promotion of confidence and the ability to defend yourself.
Follow us if this video makes you proud!",https://mith.umd.edu/irads/files/original/a9d7307bc6ae720a7abcef364ed07f0f.png,RUB,17306.95,2016-04-22T10:43:02-07:00,,108433,,,The Tea Party|Conservative Republicans of Texas|Donald Trump for President,Instagram Feed,,,,,,,,857,https://www.facebook.com/Teapartypat—1649468318669272/,_american.made|2nd Amendment|black|common folks|guns|Instagram|invader|Joy|patriotism|photograph|text
https://mith.umd.edu/irads/api/items/8831,2000,Our mission is to tell the bold truth ab…,Our mission is to tell the bold truth about inequality and injustice. Join us! BM,https://mith.umd.edu/irads/files/original/c57ad13a6de9c3b4ca7727c021b59e74.png,RUB,15478.22,2016-12-08T06:34:13-08:00,,107295,,Exclude people who like BM,Martin Luther King|African-American Civil Rights Movement (1954—68)|African-American history|Malcolm X,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,4669,https://www.facebook.com/blackmattersus.mvmnt/,black|BM|civil rights|class|common folks|illustration|Joy|photograph|race|racial identities|racial tensions|white
https://mith.umd.edu/irads/api/items/8993,85,Black Matters. Black community.,Black Matters. Black community.,https://mith.umd.edu/irads/files/original/82e5614442ab3f29dfab5528dd7cdf80.png,RUB,35240.34,2015-11-05T23:17:06-08:00,,105431,English (UK)|English (US),Exclude people who like Black Matters,BlackNews.com|HuffPost Black Voices,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,10547,https://www.facebook.com/blackmattersus/,black|Black Matters|blacklivesmatter|civil rights|crime|empowerment|equality|Fear|justice|photograph|police brutality|race|racial identities|racial tensions|Sadness
https://mith.umd.edu/irads/api/items/8997,1460,"We are not against police, we against po…","We are not against police, we against police brutality!",https://mith.umd.edu/irads/files/original/fd97eff42db96ca1edd9315935483a0b.png,RUB,105585.61,2015-11-06T02:41:18-08:00,,103614,English (UK)|English (US),Exclude people who like Don't Shoot,Cop Block,News Feed on mobile devices,,,,,,,,10629,https://www.facebook.com/BIackJourneyZJustice/,Anger|black|blacklivesmatter|blue|civil rights|crime|Don't Shoot|equality|Fear|gun|guns|illustration|justice|police brutality|race|racial tensions|Sadness|security|text|woke
https://mith.umd.edu/irads/api/items/7233,1655,A page to unit all Muslim people living …,A page to unit all Muslim people living in the USA!,https://mith.umd.edu/irads/files/original/027286270b792c5f62e0065c1b2a2a47.png,RUB,59453.76,2015-12-18T03:52:42-08:00,,103079,English (UK)|English (US),Exclude people who like United Muslims of America,Muslims Are Not Terrorists|Zaid Shakir|ProductiveMuslim|Abu Eesa Niamatullah,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,4491,https://www.facebook.com/MuslimAmerica/,alllivesmatter|blue|equality|justice|liberty|national monuments|race|racial identities|red|text|white
